"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.013035774E-3,6.650138625E1,2.575226051E1,8.528979492E1,NaN,NaN,4.503589653E1,9.885116577E0
3.587698936E-2,6.650138435E1,2.575227955E1,8.528979492E1,NaN,NaN,4.887177557E1,9.885116577E0
1.144019961E0,6.650153198E1,2.575213644E1,7.683096313E1,1.269999981E0,3.575390625E2,7.738869236E0,1.200000000E1
1.757839084E0,6.650153751E1,2.575217860E1,7.960350800E1,1.269999981E0,2.636718750E1,5.401877173E0,8.000000000E0
2.751289964E0,6.650153374E1,2.575220190E1,7.946662903E1,2.800000012E-1,8.753906250E1,4.086598539E0,8.000000000E0
3.749901891E0,6.650153223E1,2.575221590E1,8.070497894E1,2.800000012E-1,5.378906250E1,3.650481137E0,6.000000000E0
4.752527118E0,6.650153177E1,2.575222855E1,8.121701050E1,3.100000024E-1,7.031250000E1,3.695748673E0,6.000000000E0
5.758418918E0,6.650153324E1,2.575224381E1,8.078977203E1,6.100000143E-1,6.785156250E1,3.535533906E0,6.000000000E0
6.730072141E0,6.650153428E1,2.575225932E1,8.070579529E1,6.100000143E-1,7.242187500E1,3.535533906E0,4.000000000E0
7.730075121E0,6.650153562E1,2.575227717E1,8.065344238E1,6.100000143E-1,6.503906250E1,3.535533906E0,4.000000000E0
8.730072379E0,6.650153965E1,2.575229645E1,8.076704407E1,7.300000191E-1,5.625000000E1,3.535533906E0,4.000000000E0
9.730074286E0,6.650154505E1,2.575231464E1,8.104885101E1,9.900000095E-1,5.343750000E1,3.535533906E0,4.000000000E0
1.073007452E1,6.650155126E1,2.575233090E1,8.034719849E1,9.100000262E-1,5.203125000E1,3.535533906E0,4.000000000E0
1.173007095E1,6.650155830E1,2.575235294E1,8.164921570E1,1.340000033E0,5.414062500E1,3.535533906E0,4.000000000E0
1.273007202E1,6.650156588E1,2.575237750E1,8.164471436E1,1.340000033E0,5.765625000E1,3.535533906E0,4.000000000E0
1.373007369E1,6.650157231E1,2.575240293E1,8.164473173E1,1.340000033E0,5.765627332E1,4.513505118E0,4.077732187E0
1.473006952E1,6.650158076E1,2.575242403E1,8.212386534E1,1.340000033E0,5.414064737E1,4.668299597E0,3.468647562E0
1.573007035E1,6.650159022E1,2.575244437E1,8.300955602E1,1.340000033E0,5.167970916E1,4.668299645E0,3.468647497E0
1.673006964E1,6.650160358E1,2.575246425E1,8.325101877E1,1.539999962E0,4.289064659E1,4.668299709E0,3.468647411E0
1.773006356E1,6.650161406E1,2.575248334E1,8.350151469E1,1.539999962E0,4.535158507E1,4.513505785E0,4.077732035E0
1.873006678E1,6.650162278E1,2.575249778E1,8.393414137E1,1.350000024E0,4.570314491E1,4.513505949E0,4.077732006E0
1.973007047E1,6.650163142E1,2.575251464E1,8.378081723E1,1.299999952E0,4.781251985E1,4.513506103E0,4.077731977E0
2.073006737E1,6.650164218E1,2.575252766E1,8.406311436E1,1.279999971E0,4.042970460E1,4.513506277E0,4.077731935E0
2.173006439E1,6.650165623E1,2.575254308E1,8.480060791E1,1.460000038E0,3.375001671E1,4.513506494E0,4.077731876E0
2.273006165E1,6.650166789E1,2.575255622E1,8.475965904E1,1.460000038E0,3.093751546E1,4.513506692E0,4.077731830E0
2.373005843E1,6.650167668E1,2.575257077E1,8.471162053E1,1.289999962E0,3.550782794E1,4.513506864E0,4.077731801E0
2.473005497E1,6.650168579E1,2.575259243E1,8.402670689E1,1.289999962E0,4.042970474E1,4.513507025E0,4.077731772E0
2.573005247E1,6.650169553E1,2.575261517E1,8.483000012E1,1.299999952E0,3.482717133E1,4.513507193E0,4.077731737E0
2.673004937E1,6.650171405E1,2.575264576E1,8.490825117E1,1.950000048E0,3.482717133E1,4.513507451E0,4.077731655E0
2.773004591E1,6.650172758E1,2.575266775E1,8.442717779E1,1.950000048E0,3.482717133E1,4.188416983E0,6.023058282E0
2.873004198E1,6.650173495E1,2.575268598E1,8.388818766E1,1.559999943E0,3.482717133E1,4.188417428E0,6.023058326E0
2.973003912E1,6.650174204E1,2.575270715E1,8.404981825E1,1.370000005E0,3.510504532E1,4.192103760E0,6.021850904E0
3.073003602E1,6.650174942E1,2.575272539E1,8.459548206E1,1.250000000E0,3.510504532E1,4.668300487E0,3.468646363E0
3.173003268E1,6.650175972E1,2.575274484E1,8.602731533E1,1.259999990E0,3.510504532E1,4.668300539E0,3.468646294E0
